"stage","years_from_dx","surv"
"1",0,1
"1",1,0.971154550113478
"1",2,0.971154550113478
"1",3,0.971154550113478
"1",4,0.971154550113478
"1",5,0.971154550113478
"1",6,0.971154550113478
"1",7,0.971154550113478
"1",8,0.971154550113478
"1",9,0.971122036318235
"1",10,0.971122036318235
"2",0,1
"2",1,0.970155043056521
"2",2,0.966194599181664
"2",3,0.957054667216599
"2",4,0.943521693291649
"2",5,0.927291750271674
"2",6,0.909425788177105
"2",7,0.88826002607413
"2",8,0.866087974403429
"2",9,0.844007659960439
"2",10,0.824409828814645
"3",0,1
"3",1,0.977362507621528
"3",2,0.888373612468167
"3",3,0.780680041166286
"3",4,0.685842857605639
"3",5,0.598486439869719
"3",6,0.518218814062039
"3",7,0.449013933864615
"3",8,0.392283296860738
"3",9,0.349901886115821
"3",10,0.318902270154976
"4",0,1
"4",1,0.745763823735606
"4",2,0.492208782697729
"4",3,0.358210753668624
"4",4,0.270010570987205
"4",5,0.204796182821324
"4",6,0.15509483418577
"4",7,0.122094144002831
"4",8,0.0990546759299694
"4",9,0.0858117397490816
"4",10,0.0772375666235555
