"stage","years_from_dx","surv"
"1",0,1
"1",1,0.904139888276761
"1",2,0.818451797310064
"1",3,0.739692271151783
"1",4,0.668678304422193
"1",5,0.603701941916525
"1",6,0.545710739175623
"1",7,0.494528003334592
"1",8,0.447690288237182
"1",9,0.405359908588524
"1",10,0.367240790689732
"2",0,1
"2",1,0.739334967173157
"2",2,0.548586243867838
"2",3,0.406591569635099
"2",4,0.300186116097941
"2",5,0.222106576762069
"2",6,0.165134807220341
"2",7,0.121699744697908
"2",8,0.0920543897841211
"2",9,0.0694043234775076
"2",10,0.0501769280393818
"3",0,1
"3",1,0.605045923332634
"3",2,0.370093687499342
"3",3,0.224593972728369
"3",4,0.138046435385586
"3",5,0.085155067322657
"3",6,0.0506774652433053
"3",7,0.0294380493388876
"3",8,0.0188161804384072
"3",9,0.0104669543477817
"3",10,0.00625891620537897
"4",0,1
"4",1,0.491433967589036
"4",2,0.244911756170871
"4",3,0.122580381352826
"4",4,0.0608781399894039
"4",5,0.0297307179934602
"4",6,0.0147808825502329
"4",7,0.00714644943629743
"4",8,0.00284074152701494
"4",9,0.00109544242938169
"4",10,0.000619163112259216
