age,pct_alive,p_death
0,1,0.00646
1,0.99354,0.00046
2,0.99308,0.0003
3,0.99278,0.0002
4,0.99258,0.00019
5,0.99239,0.00016
6,0.99223,0.00014
7,0.99209,0.00014
8,0.99195,0.00013
9,0.99182,0.00013
10,0.99169,0.00012
11,0.99157,0.00015
12,0.99142,0.00014
13,0.99128,0.00017
14,0.99111,0.00022
15,0.99089,0.00027
16,0.99062,0.00036
17,0.99026,0.0004
18,0.98986,0.00047
19,0.98939,0.00044
20,0.98895,0.00045
21,0.9885,0.00048
22,0.98802,0.00046
23,0.98756,0.00046
24,0.9871,0.00045
25,0.98665,0.00049
26,0.98616,0.00049
27,0.98567,0.00052
28,0.98515,0.00054
29,0.98461,0.00057
30,0.98404,0.00059
31,0.98345,0.00067
32,0.98278,0.00072
33,0.98206,0.00079
34,0.98127,0.00084
35,0.98043,0.00091
36,0.97952,0.00099
37,0.97853,0.00112
38,0.97741,0.0012
39,0.97621,0.00132
40,0.97489,0.00142
41,0.97347,0.00156
42,0.97191,0.00165
43,0.97026,0.00185
44,0.96841,0.00193
45,0.96648,0.0021
46,0.96438,0.0022
47,0.96218,0.00241
48,0.95977,0.00261
49,0.95716,0.00278
50,0.95438,0.00302
51,0.95136,0.00322
52,0.94814,0.00358
53,0.94456,0.0039
54,0.94066,0.00427
55,0.93639,0.00463
56,0.93176,0.00516
57,0.9266,0.00557
58,0.92103,0.00611
59,0.91492,0.00663
60,0.90829,0.00713
61,0.90116,0.00802
62,0.89314,0.00865
63,0.88449,0.00923
64,0.87526,0.0101
65,0.86516,0.01085
66,0.85431,0.01184
67,0.84247,0.01261
68,0.82986,0.01356
69,0.8163,0.01438
70,0.80192,0.01541
71,0.78651,0.01643
72,0.77008,0.01794
73,0.75214,0.01896
74,0.73318,0.02022
75,0.71296,0.02203
76,0.69093,0.02304
77,0.66789,0.02425
78,0.64364,0.02629
79,0.61735,0.02763
80,0.58972,0.03115
81,0.55857,0.0316
82,0.52697,0.03338
83,0.49359,0.03482
84,0.45877,0.03608
85,0.42269,0.03716
86,0.38553,0.03757
87,0.34796,0.03778
88,0.31018,0.03708
89,0.2731,0.03652
90,0.23658,0.03514
91,0.20144,0.03301
92,0.16843,0.03088
93,0.13755,0.02725
94,0.1103,0.02396
95,0.08634,0.02019
96,0.06615,0.01676
97,0.04939,0.0135
98,0.03589,0.01055
99,0.02534,0.00797
100,0.01737,0.00583
101,0.01154,0.00412
102,0.00742,0.0028
103,0.00462,0.00184
104,0.00278,0.00116
105,0.00162,0.00071
106,0.00091,0.00041
107,0.0005,0.00024
108,0.00026,0.00013
109,0.00013,0.00006
110,0.00007,0.00007
