var_name,idx,var_distr,param_name,var_id,distr,min,max,param_val
d_time_H_L,NA,weibull,cure_max,d_time_H_L.cure_max,unif,0.5,1,0.6
d_time_H_L,NA,weibull,shape,d_time_H_L.shape,unif,1.255425865,6.055444267,1.569282331
d_time_H_L,NA,weibull,scale,d_time_H_L.scale,unif,34.35900387,128.7301497,88.35351987
d_time_L_P,NA,weibull,shape,d_time_L_P.shape,unif,1.5,7,5
d_time_L_P,NA,weibull,scale,d_time_L_P.scale,unif,40,150,65
d_n_L,NA,pois,lambda,d_n_L.lambda,unif,0.02,0.1,0.045
d_time_P1_P2,NA,exponential,rate,d_time_P1_P2.rate,unif,0.05,0.5,0.2
hr_cancer,1,NA,NA,hr_cancer.1,unif,0.7,3,1.6
hr_cancer,2,NA,NA,hr_cancer.2,unif,0.7,3,2
hr_cancer,3,NA,NA,hr_cancer.3,unif,0.7,3,2
diff_p_cancer,1,NA,NA,diff_p_cancer.1,unif,-0.1,0.03,-0.02
diff_p_cancer,2,NA,NA,diff_p_cancer.2,unif,-0.1,0.03,-0.03
diff_p_cancer,3,NA,NA,diff_p_cancer.3,unif,-0.03,0.03,0
