"var_name","idx","var_distr","param_name","var_id","distr","min","max"
"d_time_H_L",NA,"weibull","shape","d_time_H_L.shape","unif",1.19970127103887,2.84678293629902
"d_time_H_L",NA,"weibull","scale","d_time_H_L.scale","unif",72.2864513737572,140.395779009388
"d_time_L_P",NA,"weibull","shape","d_time_L_P.shape","unif",1.09,4.52
"d_time_L_P",NA,"weibull","scale","d_time_L_P.scale","unif",32.47,96.7
"d_n_L",NA,"pois","lambda","d_n_L.lambda","unif",0.05,0.13
"d_time_P1_P2",NA,"exponential","rate","d_time_P1_P2.rate","unif",0.08,0.25
"hr_cancer",1,NA,NA,"hr_cancer.1","unif",0.7,2
"hr_cancer",2,NA,NA,"hr_cancer.2","unif",0.7,2
"hr_cancer",3,NA,NA,"hr_cancer.3","unif",0.7,2
"hr_cancer",4,NA,NA,"hr_cancer.4","unif",0.7,2
"diff_p_cancer",1,NA,NA,"diff_p_cancer.1","unif",-0.01,0.05
"diff_p_cancer",2,NA,NA,"diff_p_cancer.2","unif",-0.025,0.05
"diff_p_cancer",3,NA,NA,"diff_p_cancer.3","unif",-0.05,0.025
