"stage","years_from_dx","surv"
"1",0,1
"1",1,0.942068101113376
"1",2,0.893002889277366
"1",3,0.844555023142328
"1",4,0.799304928942846
"1",5,0.753449785150782
"1",6,0.719372375620281
"1",7,0.681477879909047
"1",8,0.650408683837065
"1",9,0.616373534193512
"1",10,0.588149716476176
"2",0,1
"2",1,0.920423304499511
"2",2,0.840245139095154
"2",3,0.768909383315804
"2",4,0.714384524894938
"2",5,0.663831430052077
"2",6,0.610495627131337
"2",7,0.563757384566712
"2",8,0.518484313714121
"2",9,0.481175361103381
"2",10,0.442648047572641
"3",0,1
"3",1,0.84816121879432
"3",2,0.72235197260647
"3",3,0.61693266960701
"3",4,0.534906125153491
"3",5,0.458575625761897
"3",6,0.384929371961867
"3",7,0.325362060195591
"3",8,0.2824021983328
"3",9,0.243675798424363
"3",10,0.203168379143923
"4",0,1
"4",1,0.60717583634187
"4",2,0.372074828743863
"4",3,0.220247869699193
"4",4,0.144915252423662
"4",5,0.0847615836419349
"4",6,0.0496794032894248
"4",7,0.0309091036768443
"4",8,0.0179245327753732
"4",9,0.0111530426157878
"4",10,0.00637316720902159
