"stage","years_from_dx","surv"
"1",0,1
"1",1,0.94852550802485
"1",2,0.900052582778782
"1",3,0.862615720143803
"1",4,0.813434818653149
"1",5,0.772565569033826
"1",6,0.733721604006976
"1",7,0.692655135494358
"1",8,0.65792183117128
"1",9,0.622861138874508
"1",10,0.593486704081138
"2",0,1
"2",1,0.926614262271143
"2",2,0.854833390852405
"2",3,0.786297695280468
"2",4,0.725219736084827
"2",5,0.667844538046159
"2",6,0.620862028979793
"2",7,0.576025779497871
"2",8,0.530433100763497
"2",9,0.479105225726925
"2",10,0.44438642526683
"3",0,1
"3",1,0.861014521602817
"3",2,0.726870829391012
"3",3,0.621505364154294
"3",4,0.522922603323048
"3",5,0.448088095581957
"3",6,0.377437291479427
"3",7,0.326359821439109
"3",8,0.273538712023147
"3",9,0.237765550336155
"3",10,0.193485277778554
"4",0,1
"4",1,0.615985648656844
"4",2,0.373435600593929
"4",3,0.227403865737805
"4",4,0.129185087189282
"4",5,0.0793691918287221
"4",6,0.0536014958854804
"4",7,0.0359490798231134
"4",8,0.022421445643547
"4",9,0.0116422117970948
"4",10,0.00735184115335062
