"target_names","target_groups","target_index","target_index_cat","age_start","age_end","targets","se","ci_lb","ci_ub","n_cases","n_total"
"prevalence_lesion_30_40","prevalence_lesion",35,NA,30,40,0.115057528764382,0.00713688408738338,0.101565281385659,0.130052761207373,230,1999
"prevalence_lesion_40_50","prevalence_lesion",45,NA,40,50,0.164346895074946,0.0085744314260209,0.147977126969058,0.182116243000211,307,1868
"prevalence_lesion_50_60","prevalence_lesion",55,NA,50,60,0.229736983360172,0.0097460481506822,0.210942745788364,0.249659083138344,428,1863
"prevalence_lesion_60_70","prevalence_lesion",65,NA,60,70,0.27395498392283,0.0113098326940318,0.252052809789015,0.296987380672522,426,1555
"prevalence_lesion_70_80","prevalence_lesion",75,NA,70,80,0.320977253580455,0.0135504566231626,0.294622211240938,0.348505576762634,381,1187
"n_lesion_1","n_lesion",1,"1",50,80,0.425784966698383,0.0107848990709033,0.404565279935052,0.447278462487796,895,2102
"n_lesion_2","n_lesion",2,"2",50,80,0.285442435775452,0.0098505736847728,0.26630809275595,0.305369200660818,600,2102
"n_lesion_3","n_lesion",3,"3+",50,80,0.288772597526166,0.00988475419915031,0.269565292637807,0.30875999232772,607,2102
"prevalence_preclin_30_40","prevalence_preclin",35,NA,30,40,0.00452944136889784,0.00150639060243282,0.00221209287401362,0.00891380021707838,9,1987
"prevalence_preclin_40_50","prevalence_preclin",45,NA,40,50,0.00862068965517241,0.00214586277021119,0.00510807763844748,0.014289434327849,16,1856
"prevalence_preclin_50_60","prevalence_preclin",55,NA,50,60,0.0166204986149584,0.00300915110665553,0.0114379620823304,0.0239510546093097,30,1805
"prevalence_preclin_60_70","prevalence_preclin",65,NA,60,70,0.0210459183673469,0.00362486696513644,0.0147585074278649,0.0297779317622134,33,1568
"prevalence_preclin_70_80","prevalence_preclin",75,NA,70,80,0.029532403609516,0.00484884235116808,0.021061591525558,0.0410849485470372,36,1219
"incidence_clin_30_40","incidence_clin",35,NA,30,40,42.989629686749,2.09022732291843,38.9899518406309,47.2882647435491,423,983958.231513644
"incidence_clin_40_50","incidence_clin",45,NA,40,50,131.566755548089,3.70060412078116,124.412789410858,139.024840608638,1264,960729.019070472
"incidence_clin_50_60","incidence_clin",55,NA,50,60,261.740811705164,5.36066069628585,251.338481809325,272.463106370876,2384,910824.714139513
"incidence_clin_60_70","incidence_clin",65,NA,60,70,411.964177828678,7.12937147651967,398.108090397393,426.179450601416,3339,810507.3644021
"incidence_clin_70_80","incidence_clin",75,NA,70,80,576.905218181854,9.5268430884772,558.382402052627,595.885916629194,3667,635633.00944941
"incidence_clin_80_90","incidence_clin",85,NA,80,90,753.066932392701,13.9576555071542,725.95627431587,780.931025133513,2911,386552.62564125
"stage_distr_1","stage_distr",1,NA,NA,NA,0.242247191011236,0.00344914713526308,0.235550847185165,0.249071255510156,3773,15575
"stage_distr_2","stage_distr",2,NA,NA,NA,0.263370786516854,0.00354541164227268,0.256480526590533,0.27037828484898,4102,15575
"stage_distr_3","stage_distr",3,NA,NA,NA,0.218555377207063,0.00332758808850366,0.212103166725857,0.225147072343561,3404,15575
"stage_distr_4","stage_distr",4,NA,NA,NA,0.275826645264848,0.00359721812132566,0.26883175715479,0.282932593079457,4296,15575
