"age_range","age_start","age_end","n_population","n_events","unit","incidence","se"
"20-25",20,25,984064,508,100000,10.3245332324092,1.02429150887276
"25-30",25,30,979160,1291,100000,26.369545513082,1.64106024862188
"30-35",30,35,973323,2726,100000,56.0142719131595,2.39894765460308
"35-40",35,40,964688,5186,100000,107.516596752052,3.33844522532663
"40-45",40,45,951140,8356,100000,175.705016531549,4.29803499932289
"45-50",45,50,930416,12563,100000,270.051318341712,5.38746701327353
"50-55",50,55,900782,17559,100000,389.861365216157,6.5787792207324
"55-60",55,60,858176,22782,100000,530.939787642647,7.8656451571681
"60-65",60,65,797795,27606,100000,692.057141301654,9.31376369106832
"65-70",65,70,715943,31025,100000,866.689623084138,11.0025336087521
"70-75",70,75,610881,33078,100000,1082.96017048984,13.31459206593
"75-80",75,80,482905,31280,100000,1295.4922678158,16.3789650124847
"80-85",80,85,335668,25474,100000,1517.80822402309,21.2644097189192
"85-100",85,100,94296,26168,100000,1850.05595667451,44.2940333405656
