"age_range","age_start","age_end","n_population","n_events","unit","incidence","se"
"20-25",20,25,98417,0,100000,0,0
"25-30",25,30,97970,0,100000,0,0
"30-35",30,35,97480,0,100000,0,0
"35-40",35,40,96838,0,100000,0,0
"40-45",40,45,95958,0,100000,0,0
"45-50",45,50,94600,0,100000,0,0
"50-55",50,55,92610,0,100000,0,0
"55-60",55,60,89639,0,100000,0,0
"60-65",60,65,85337,0,100000,0,0
"65-70",65,70,78915,5,100000,1.26718466147512,1.26718466147512
"70-75",70,75,70055,4,100000,1.141965066822,1.27675575867204
"75-80",75,80,58186,8,100000,2.74980817567467,2.1739142409211
"80-85",80,85,42892,5,100000,2.33141835457208,2.33141835457208
"85-100",85,100,13376,9,100000,4.48568921809377,5.79099987931311
