"stage","years_from_dx","surv"
"1",0,1
"1",1,0.904362968994102
"1",2,0.816604780247808
"1",3,0.736684299061947
"1",4,0.668352440730672
"1",5,0.605920200758969
"1",6,0.547198518836365
"1",7,0.497692696135408
"1",8,0.451254679153917
"1",9,0.405215970076962
"1",10,0.366538132861538
"2",0,1
"2",1,0.744415631462273
"2",2,0.554129294203487
"2",3,0.413178401659941
"2",4,0.307204528983289
"2",5,0.229243490572602
"2",6,0.16838428889258
"2",7,0.123856008131307
"2",8,0.0928937631771949
"2",9,0.0687260548908756
"2",10,0.0506601148183557
